# f/f0                      Re(j_E_dir)                 Im(j_E_dir)                 Re(j_ortho)                 Im(j_ortho)                 I_E_dir                     I_ortho                    
-1.999900004270836860e+02   +7.912450771919806306e-13   -1.977828908016095044e-14   -5.304428806649695009e-13   -3.442961807731258824e-14   +1.186847227714040213e-33   +5.353090395306724871e-34
-1.999700014270409838e+02   +7.951253927753569063e-13   -5.904952427645556782e-14   -5.238892869272015535e-13   -1.028933522943109085e-13   +1.204133200150989506e-33   +5.399221674288053187e-34
-1.999500024269982816e+02   +8.027800993902193510e-13   -9.747064956685848607e-14   -5.108685749326185140e-13   -1.701762406870724113e-13   +1.238444576861095453e-33   +5.490929554328159392e-34
-1.999300034269555510e+02   +8.140203637422061723e-13   -1.344969467405752866e-13   -4.915522532150876112e-13   -2.355097898766214709e-13   +1.288868162491973838e-33   +5.625054057050298020e-34
-1.999100044269128489e+02   +8.285619265544606435e-13   -1.696117504084249427e-13   -4.661940104938343263e-13   -2.981531645091733461e-13   +1.354041302102175669e-33   +5.797020093865144014e-34
-1.998900054268701467e+02   +8.460332491408870440e-13   -2.023416909791798820e-13   -4.351255159122191524e-13   -3.574033739830173850e-13   +1.432184971765687501e-33   +6.001007293426300777e-34
-1.998700064268274446e+02   +8.659983951257484046e-13   -2.322650793443003868e-13   -3.987509664638205587e-13   -4.126046256354016077e-13   +1.521186212119799215e-33   +6.230160952303550386e-34
-1.998500074267847424e+02   +8.879594514383280139e-13   -2.590206415975649836e-13   -3.575405045649465560e-13   -4.631566642909422641e-13   +1.618622678233217424e-33   +6.476833540045359615e-34
-1.998300084267420118e+02   +9.113676192415155483e-13   -2.823140084323295732e-13   -3.120226550002683643e-13   -5.085219562450628227e-13   +1.721817621467220104e-33   +6.732845821287148288e-34
-1.998100094266993096e+02   +9.356515493832429905e-13   -3.019289113687129129e-13   -2.627759531457048634e-13   -5.482316171593082590e-13   +1.827967254733009444e-33   +6.989757171448186311e-34
-1.997900104266566075e+02   +9.602224561015953225e-13   -3.177225082292108299e-13   -2.104199543239608105e-13   -5.818900256909550847e-13   +1.934182279142807378e-33   +7.239135802178603778e-34
-1.997700114266139053e+02   +9.844862303800958157e-13   -3.296346984849312311e-13   -1.556058263627864140e-13   -6.091781058858435830e-13   +2.037571194069754057e-33   +7.472821063495389676e-34
-1.997500124265712032e+02   +1.007873068144630595e-12   -3.376876346561234154e-13   -9.900673307744571932e-14   -6.298552996420133733e-13   +2.135383718862220334e-33   +7.683171445148341047e-34
-1.997300134265285010e+02   +1.029840383000823894e-12   -3.419774541893259502e-13   -4.130821499294065006e-14   -6.437602845275006595e-13   +2.225050243306814634e-33   +7.863293121577402215e-34
-1.997100144264857704e+02   +1.049884420861626801e-12   -3.426794001474596025e-13   +1.680123483939975592e-14   -6.508105209034926567e-13   +2.304267186006454855e-33   +8.007244737399002208e-34
-1.996900154264430682e+02   +1.067561512452674618e-12   -3.400399571681673074e-13   +7.463921719129067279e-14   -6.510007350356159748e-13   +2.371102226245681143e-33   +8.110214590846430796e-34
-1.996700164264003661e+02   +1.082493112278091781e-12   -3.343578875877161762e-13   +1.315379332607848947e-13   -6.444004613019261462e-13   +2.424017794088004458e-33   +8.168666516715264488e-34
-1.996500174263576639e+02   +1.094362359215498376e-12   -3.259945964553592546e-13   +1.868520149270119925e-13   -6.311507766049671069e-13   +2.461888710366015376e-33   +8.180450742657156515e-34
-1.996300184263149617e+02   +1.102936030313529032e-12   -3.153546322583896738e-13   +2.399655703631025154e-13   -6.114603636914625017e-13   +2.484076389453781962e-33   +8.144875970461255989e-34
-1.996100194262722312e+02   +1.108056371157223365e-12   -3.028707767801787526e-13   +2.902983665193671265e-13   -5.856010374694193003e-13   +2.490379154760920579e-33   +8.062739095852824970e-34
-1.995900204262295290e+02   +1.109633451504041102e-12   -2.889940321288925963e-13   +3.373110998963688524e-13   -5.539028599473346944e-13   +2.480981855035824954e-33   +7.936309482173468843e-34
-1.995700214261867984e+02   +1.107656841379290210e-12   -2.741986408438481458e-13   +3.805097359060064616e-13   -5.167489557145994702e-13   +2.456496100170772694e-33   +7.769265664627447365e-34
-1.995500224261440962e+02   +1.102184918466123637e-12   -2.589413075722808764e-13   +4.194489241514608009e-13   -4.745701218140971472e-13   +2.417852731035438091e-33   +7.566583855953438676e-34
-1.995300234261013941e+02   +1.093328039887599510e-12   -2.436670622629934496e-13   +4.537345216402147103e-13   -4.278393046676736410e-13   +2.366220095748649418e-33   +7.334379671737999301e-34
-1.995100244260586919e+02   +1.081252168809185522e-12   -2.288125417107639302e-13   +4.830252780368624650e-13   -3.770659939960007449e-13   +2.303001101137133872e-33   +7.079707050274204056e-34
-1.994900254260159898e+02   +1.066165910312702576e-12   -2.147617578581549684e-13   +5.070337564504133404e-13   -3.227905613089462533e-13   +2.229720941372781599e-33   +6.810321285303125742e-34
-1.994700264259732592e+02   +1.048298651197559935e-12   -2.018676799920066462e-13   +5.255265797943753075e-13   -2.655785505939003179e-13   +2.147946194047454109e-33   +6.534416205184946782e-34
-1.994500274259305570e+02   +1.027908500507964982e-12   -1.904432171320465454e-13   +5.383241062256463567e-13   -2.060149133597758212e-13   +2.059299266580392727e-33   +6.260348507239470447e-34
-1.994300284258878548e+02   +1.005259088217669834e-12   -1.807340953469036954e-13   +5.452996470588217131e-13   -1.446981709973280327e-13   +1.965341645594868201e-33   +5.996364691718828314e-34
-1.994100294258451527e+02   +9.806198390412545989e-13   -1.729379539956098646e-13   +5.463783461866226522e-13   -8.223448580247434784e-14   +1.867590456406829100e-33   +5.750347486304193059e-34
-1.993900304258024505e+02   +9.542311369333353518e-13   -1.672094608297070098e-13   +5.415358405422091917e-13   -1.923162856100652729e-14   +1.767394643941473707e-33   +5.529598667504263401e-34
-1.993700314257597199e+02   +9.263467770134143000e-13   -1.636280021308737147e-13   +5.307968156553308305e-13   +4.370715498266849097e-14   +1.666077501696379621e-33   +5.340673418224197706e-34
-1.993500324257170178e+02   +8.971720618639590793e-13   -1.622390671122892845e-13   +5.142335581884665181e-13   +1.059893553909473674e-13   +1.564745073237445364e-33   +5.189277636829261134e-34
-1.993300334256743156e+02   +8.668970723952913524e-13   -1.630238778293377481e-13   +4.919645882039378489e-13   +1.670394395365772246e-13   +1.464396762380130566e-33   +5.080234013934970016e-34
-1.993100344256316134e+02   +8.356937620931947532e-13   -1.659337111969317921e-13   +4.641534281222745612e-13   +2.263050429844962827e-13   +1.365937642419433019e-33   +5.017515604470340353e-34
-1.992900354255889113e+02   +8.036880170920685786e-13   -1.708788533323393730e-13   +4.310075338999666821e-13   +2.832630124297187981e-13   +1.270086306572288317e-33   +5.004337734463317635e-34
-1.992700364255462091e+02   +7.709919994342450873e-13   -1.777401771187143727e-13   +3.927773786694968077e-13   +3.374251745336893481e-13   +1.177490235308020421e-33   +5.043291334690132769e-34
-1.992500374255034785e+02   +7.377009060384756144e-13   -1.863702281951284702e-13   +3.497556424039166053e-13   +3.883436936507543823e-13   +1.088711197265155569e-33   +5.136494265921579367e-34
-1.992300384254607764e+02   +7.038933486829351576e-13   -1.966117704322642764e-13   +3.022764260425779156e-13   +4.356158767462713284e-13   +1.004234357491871164e-33   +5.285732957887921469e-34
-1.992100394254180742e+02   +6.696088567761261056e-13   -2.083099356096047129e-13   +2.507143781177682301e-13   +4.788882904833652270e-13   +9.244183955604941654e-34   +5.492565604084671657e-34
-1.991900404253753720e+02   +6.349110886473754316e-13   -2.212949802895796516e-13   +1.954835993077631700e-13   +5.178600730859042842e-13   +8.496477195363355862e-34   +5.758360764716384556e-34
-1.991700414253326699e+02   +5.998638814415416372e-13   -2.354102173624342883e-13   +1.370361781106569232e-13   +5.522853510915941702e-13   +7.802746038189063668e-34   +6.084251584754011566e-34
-1.991500424252899393e+02   +5.645198963327450844e-13   -2.505159332239730305e-13   +7.586021081350406610e-14   +5.819747063997883368e-13   +7.165938243247639191e-34   +6.470995458108683746e-34
-1.991300434252472371e+02   +5.289616566889194275e-13   -2.664816623857864633e-13   +1.247717193138380601e-14   +6.067956791449917772e-13   +6.589221220002286402e-34   +6.918740880871852696e-34
-1.991100444252045065e+02   +4.932762121461471681e-13   -2.832046585608895466e-13   -5.256147302204266576e-14   +6.266723334834097948e-13   +6.075483883889143330e-34   +7.426716057562700482e-34
