# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +2.099273869692908388e-51   -4.813356060694896436e-68   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.283667640415613823e-42   -2.346762165125489382e-57   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189072500e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.534519061983728229e-36   -1.420830441235762048e-51   +1.774507355699987202e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910021531340e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -7.677198472319638286e-31   +1.779293618396202620e-45   +1.774507355623215421e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768257191515099306e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -6.319716947765881448e-26   +2.223350419302617118e-40   +1.774501035983039742e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   -7.673013820295608390e-24   +1.199883850261303231e-20   +3.713228726063247587e-21   +1.114177860956924483e-20   -1.405398612372665851e-21   -2.492699190585650900e-36   +2.307830113690581736e-21   +1.114177860956924182e-20
-1.074875707099999636e+04   -1.307491415172002160e-16   +1.028471871652545584e-20   -1.060380818275676364e-16   +1.028471871652545584e-20   -8.370731717886368470e-18   -4.980394374397105220e-32   -1.144088135454539987e-16   +1.028471871647565249e-20
-9.095102136999996219e+03   -2.733696807406305124e-13   +1.028471871652545584e-20   -2.295699495587572252e-13   +1.114177860956924483e-20   -1.317754110852860692e-14   -3.755759855721451479e-29   -2.427474906672858385e-13   +1.114177857201164586e-20
-7.441447202999996080e+03   -1.589554386524173852e-10   +1.114177860956924483e-20   -1.381655459034031668e-10   +9.427658823481668354e-21   -5.363339532588064784e-12   -6.835464013367919232e-27   -1.435288854359912267e-10   +9.427651988017655549e-21
-5.787792268999995940e+03   -2.571661345557675040e-08   +1.285589839565682130e-20   -2.312106732682324611e-08   +1.114177860956924483e-20   -5.415015120099119354e-10   +2.372507562426594234e-25   -2.366256883883315825e-08   +1.114201586032548682e-20
-4.134137334999995801e+03   -1.163361376033383499e-06   +9.427658823481668354e-21   -1.081086345311405553e-06   +1.028471871652545584e-20   -1.236618693594777028e-08   +1.113496882635276763e-22   -1.093452532247353275e-06   +1.039606840478898347e-20
-2.480482400999997481e+03   -1.395292504285769524e-05   +1.028471871652545584e-20   -1.321356450828981614e-05   +1.114177860956924483e-20   -8.696004163255872144e-08   -2.591410926860280602e-21   -1.330052454992237481e-05   +8.550367682708964226e-21
-8.268274669999955222e+02   -2.831768065489491092e-05   +3.856769518697045940e-21   -2.668233781719820207e-05   +4.285299465218940434e-21   +1.036262013323288692e-07   +7.774232780580843312e-21   -2.657871161586587228e-05   +1.205953224579978375e-20
+8.268274670000027982e+02   -2.429724697464176171e-05   +3.856769518697045940e-21   -2.571597447594026564e-05   +4.285299465218940434e-21   +9.707782658992834660e-08   +5.182821853720561205e-21   -2.561889664935033671e-05   +9.468121318939501639e-21
