# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   -1.357968590931806735e-21   -1.576236307924281344e-20   -1.790462532455978358e-21   -1.569292535642676845e-20   +1.439278403216628002e-38   -3.094450687123244500e-39   -1.790462532455978358e-21   -1.569292535642676845e-20
-1.901703174099999887e+04   -1.357968590931806735e-21   -1.576236307924281344e-20   -1.790462532455978358e-21   -1.569292535642676845e-20   -1.448634539843643494e-44   +7.359024823228969873e-61   -1.790462532455978358e-21   -1.569292535642676845e-20
-1.736337680699999692e+04   -1.357968590931806735e-21   -1.576236307924281344e-20   -1.790462532455978358e-21   -1.569292535642676845e-20   -1.602380161117997167e-38   +5.812368922239199953e-53   -1.790462532455978358e-21   -1.569292535642676845e-20
-1.570972187299999678e+04   -1.357968590936980415e-21   -1.576236307924281344e-20   -1.790462532455978358e-21   -1.569292535642676845e-20   -4.833361668946005101e-33   +7.618001146689015218e-48   -1.790462532460811615e-21   -1.569292535642676845e-20
-1.405606693899999664e+04   -1.357969021565214484e-21   -1.576236307924281344e-20   -1.790462532455978358e-21   -1.569292535642676845e-20   -3.958287479854846107e-28   +1.983743579791859868e-43   -1.790462928284726450e-21   -1.569292535642676845e-20
-1.240241200499999650e+04   -1.415960553530837715e-21   -1.576236307924281344e-20   -1.826266358283002870e-21   -1.569292535642676845e-20   -8.747993841362258523e-24   -4.061613581380547478e-39   -1.835014352124364946e-21   -1.569292535642676845e-20
-1.074875707099999636e+04   -5.976525060151648262e-19   -1.638730258458731761e-20   -5.332305822790004570e-19   -1.680392892148355743e-20   -5.171899942049203713e-20   +9.113493492975194643e-35   -5.849495816994925182e-19   -1.680392892148346715e-20
-9.095102136999996219e+03   -1.255834985612119406e-15   -1.617898971509569069e-20   -1.151702561422954096e-15   -1.562348773104833719e-20   -8.070620172501217755e-17   +2.380305434773767541e-32   -1.232408763147966274e-15   -1.562348773102453390e-20
-7.441447202999996080e+03   -7.373587731610884391e-13   -1.479682607009125801e-20   -6.931456433560744583e-13   -1.696785601727279637e-20   -3.250886002593627797e-14   -5.965586612179450618e-29   -7.256545033820107489e-13   -1.696785607692866297e-20
-5.787792268999995940e+03   -1.207722435591498692e-10   -1.611640937130484561e-20   -1.159877823436519180e-10   -1.692508278496726506e-20   -3.241770392550131965e-12   +1.887000149908350756e-26   -1.192295527362020524e-10   -1.692506391496576679e-20
-4.134137334999995801e+03   -5.520882127479499033e-09   -1.518123150801845579e-20   -5.396397852360914331e-09   -1.546069527510492049e-20   -7.266440042264430663e-11   +2.001682136894889147e-25   -5.469062252783558741e-09   -1.546049510689122974e-20
-2.480482400999997481e+03   -7.049176599070320959e-08   -1.415938361023396822e-20   -6.983064704151946567e-08   -1.522507605405888261e-20   -2.552987131088856227e-10   -3.561621716386021364e-24   -7.008594575462834499e-08   -1.522863767577526876e-20
-8.268274669999955222e+02   -2.521257445084762490e-07   -1.497701320034086448e-20   -2.519638094596468104e-07   -1.621218082458761180e-20   +3.293440386898505249e-10   +5.891452517592888639e-24   -2.516344654209569861e-07   -1.620628937207002041e-20
+8.268274670000027982e+02   -2.511422690659194222e-07   -1.536057381619508683e-20   -2.519638041805260369e-07   -1.601550188641567571e-20   +3.339321297709282840e-10   +2.327828540291425683e-24   -2.516298720507551104e-07   -1.601317405787538315e-20
+2.480482401000004756e+03   -6.967707791311558307e-08   -1.606328667553269770e-20   -6.983060730142550414e-08   -1.569822184227640834e-20   -2.551499205362162113e-10   +3.620688413391523720e-24   -7.008575722196171648e-08   -1.569460115386301538e-20
+4.134137335000003077e+03   -5.417292540086038114e-09   -1.496243067991189778e-20   -5.396347615440748825e-09   -1.591096506136555977e-20   -7.357365559363854289e-11   -5.649300959599091500e-25   -5.469921271034387432e-09   -1.591152999146152015e-20
+5.787792269000005035e+03   -1.176679924016368453e-10   -1.559034257984319736e-20   -1.159367138380358572e-10   -1.520044819282077409e-20   -3.309688141662855440e-12   +1.063804682868786662e-26   -1.192464019796987187e-10   -1.520043755477394628e-20
+7.441447203000003356e+03   -6.634296519770504519e-13   -1.573762981077118870e-20   -6.420589857285256852e-13   -1.575243271459776434e-20   -3.342780293097653292e-14   +3.503120358258686081e-28   -6.754867886595021866e-13   -1.575243236428572948e-20
+9.095102137000005314e+03   +4.987582591711296323e-14   -1.557106433023018933e-20   +4.993506408437108318e-14   -1.577937802844611599e-20   -8.352433046667493456e-17   +2.084296537696281988e-29   +4.985153975390440624e-14   -1.577937800760315143e-20
