# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.805353006267919427e-33   -7.265542663935984394e-46   +1.774507355699707039e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -1.769151325442802818e-42   -5.600663124196884558e-58   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -1.959055765534253162e-36   -3.310432686480304197e-51   +1.774507355699987202e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910116075843e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -5.916802163621410886e-31   -7.359261524784936547e-47   +1.774507355640819625e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768265750463544627e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -4.852776862988523183e-26   -8.872896132013025490e-41   +1.774502502923124501e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +7.524936007042983085e-21   +1.199883850261303231e-20   +8.911246759020714856e-21   +1.114177860956924483e-20   -1.074317713935920544e-21   +3.851520919068958473e-36   +7.836929045084794500e-21   +1.114177860956924934e-20
-1.074875707099999636e+04   -7.636177827304829712e-17   +1.199883850261303231e-20   -6.689850463875114272e-17   +1.028471871652545584e-20   -6.363840672461362221e-18   +3.870854267677355347e-32   -7.326234531121250803e-17   +1.028471871656416402e-20
-9.095102136999996219e+03   -1.605781258404199315e-13   +1.114177860956924483e-20   -1.448488392871562464e-13   +1.028471871652545584e-20   -9.952530022978148734e-15   -2.069125045859098666e-29   -1.548013693101343983e-13   +1.028471869583420491e-20
-7.441447202999996080e+03   -9.408602365253969518e-11   +1.199883850261303231e-20   -8.717656584760594182e-11   +1.028471871652545584e-20   -4.018940078690287661e-12   +9.062465308569703617e-28   -9.119550592629622625e-11   +1.028471962277198677e-20
-5.787792268999995940e+03   -1.537163134190811663e-08   +1.114177860956924483e-20   -1.458799563714404902e-08   +1.199883850261303231e-20   -4.019112950381609332e-10   -4.942724088388737987e-26   -1.498990693218220850e-08   +1.199878907537214788e-20
-4.134137334999995801e+03   -7.035124772346485246e-07   +1.199883850261303231e-20   -6.816003168299608363e-07   +9.427658823481668354e-21   -9.056573443514720516e-09   +1.012269893304797110e-23   -6.906568902734755056e-07   +9.437781522414716730e-21
-2.480482400999997481e+03   -8.792652106048896054e-06   +1.199883850261303231e-20   -8.636940567929675131e-06   +1.028471871652545584e-20   -4.848788304295966109e-08   -2.591410926860280602e-21   -8.685428450972634766e-06   +7.693307789665175236e-21
-8.268274669999955222e+02   -2.267669468847653764e-05   +6.427949197828410652e-21   -2.197679707318690045e-05   +6.427949197828410652e-21   +8.779066010299952989e-08   +2.591410926860280602e-21   -2.188900641308390058e-05   +9.019360124688691254e-21
+8.268274670000027982e+02   -2.090066412325941743e-05   +5.999419251306516157e-21   -2.144696775794883493e-05   +5.999419251306516157e-21   +9.215081948425023907e-08   +0.000000000000000000e+00   -2.135481693846458519e-05   +5.999419251306516157e-21
+2.480482401000004756e+03   -5.567409114400627179e-06   +1.114177860956924483e-20   -5.641105536781666402e-06   +9.427658823481668354e-21   -4.492699446589134223e-08   -1.295705463430140301e-21   -5.686032531247557890e-06   +8.131953360051527300e-21
+4.134137335000003077e+03   +2.425269735008759065e-06   +1.028471871652545584e-20   +2.421331432656507388e-06   +1.028471871652545584e-20   -9.222956414407502956e-09   +4.934815729860886133e-23   +2.412108476242099799e-06   +1.033406687382406423e-20
+5.787792269000005035e+03   +3.094192939864036143e-06   +1.199883850261303231e-20   +3.094212416294620181e-06   +1.114177860956924483e-20   -4.155786667381470468e-10   -9.490030249732474746e-25   +3.093796837627882009e-06   +1.114082960654427084e-20
+7.441447203000003356e+03   +3.108837005907731406e-06   +1.199883850261303231e-20   +3.108838179434308834e-06   +1.114177860956924483e-20   -4.211289761748366045e-12   +2.224225839781048769e-26   +3.108833968144547198e-06   +1.114180085182764275e-20
+9.095102137000005314e+03   +3.108925956259774551e-06   +1.199883850261303231e-20   +3.108925960660284353e-06   +1.114177860956924483e-20   -1.054172514740762350e-14   -2.413439496290200300e-29   +3.108925950118559102e-06   +1.114177858543484945e-20
+1.074875707100000363e+04   +3.108926106685624085e-06   +9.427658823481668354e-21   +3.108926106689069392e-06   +1.114177860956924483e-20   -6.736680160993314555e-18   +9.427498032383593827e-33   +3.108926106682332515e-06   +1.114177860957867286e-20
+1.240241200500000559e+04   +3.108926106756552083e-06   +1.114177860956924483e-20   +3.108926106756553354e-06   +1.028471871652545584e-20   -2.771445091499313673e-21   -1.178437254047949228e-33   +3.108926106756550389e-06   +1.028471871652427771e-20
+1.405606693900000391e+04   +3.108926106756563518e-06   +1.114177860956924483e-20   +3.108926106756561824e-06   +1.114177860956924483e-20   -3.963347353867942066e-23   +1.150817630906200552e-35   +3.108926106756561824e-06   +1.114177860956925687e-20
+1.570972187300000223e+04   +3.108926106756563518e-06   +1.114177860956924483e-20   +3.108926106756561824e-06   +1.114177860956924483e-20   -3.855449829864927037e-25   +1.798152548290938154e-38   +3.108926106756561824e-06   +1.114177860956924483e-20
+1.736337680700000783e+04   +3.108926106756563518e-06   +1.114177860956924483e-20   +3.108926106756561824e-06   +1.114177860956924483e-20   +2.875529306840024387e-26   +1.489095079053433305e-38   +3.108926106756561824e-06   +1.114177860956924483e-20
+1.901703174100000615e+04   +3.108926106756563518e-06   +1.114177860956924483e-20   +3.108926106756561824e-06   +1.114177860956924483e-20   +2.748302308180972886e-28   -8.816053629649842986e-41   +3.108926106756561824e-06   +1.114177860956924483e-20
+2.067068667500000447e+04   +3.108926106756563518e-06   +1.114177860956924483e-20   +3.108926106756561824e-06   +1.114177860956924483e-20   -2.825805946337436819e-33   -7.298468083863185481e-46   +3.108926106756561824e-06   +1.114177860956924483e-20
