# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +2.069059328932733112e-40   -2.105400680194735906e-48   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -6.062158829798942400e-44   +1.121919017239214144e-59   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +4.967222673423577513e-37   +1.329598788397674930e-52   +2.058211407982506565e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389905378815856066e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +3.966498078462094643e-30   +2.218432935397973528e-45   +2.058211411949004424e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   +2.389191617809700943e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -8.222004812162647878e-25   -5.056674510852303610e-40   +2.057389207501289915e-21   -3.749637032066572880e-21
-1.033534333749999678e+04   -6.415911680219714273e-19   -2.499758021377706351e-21   -5.243797816001734285e-19   -1.249879010688857689e-21   -7.989619389702839446e-20   +5.131858083659609080e-35   -6.042759754972018229e-19   -1.249879010688806344e-21
-8.268274669999997059e+03   -3.792534338170591453e-15   -3.749637032066986654e-21   -4.215733174717983599e-15   -3.124697526722144318e-21   +4.483921329863669507e-16   -9.457171958161217031e-32   -3.767341041731616747e-15   -3.124697526816716129e-21
-6.201206002499997339e+03   +5.567531020212941402e-12   -3.124697587499532588e-21   +4.765766344292424401e-12   -3.749637032066570623e-21   +4.548522669267242151e-13   -1.126850574030894365e-27   +5.220618611219148414e-12   -3.749638158917144603e-21
-4.134137334999995801e+03   +1.055655782044710518e-09   -3.124697275653150467e-21   +1.132464201542157412e-09   -3.749637032057478880e-21   -7.997937389011653116e-11   -2.597849214046268854e-26   +1.052484827652040881e-09   -3.749663010549619055e-21
-2.067068667499996081e+03   -9.072952919116828321e-09   -3.124496268769253001e-21   -7.492342570501828011e-09   -2.499757984128418300e-21   -5.098028170660809299e-10   +3.587130520440845531e-24   -8.002145387567908321e-09   -2.496170853607977445e-21
+3.637978807091712952e-12   -7.599381985047349313e-08   -2.499759958341170982e-21   -8.051840063724516241e-08   -3.124697377724955251e-21   +4.627701931282394409e-09   -6.481581380012628698e-25   -7.589069870596276386e-08   -3.125345535862956438e-21
+2.067068667500003357e+03   -6.797045100862787330e-09   -3.124894203011477304e-21   -7.492346685128008785e-09   -3.124696930733388805e-21   -3.978352818463501122e-10   +1.200239663094920533e-24   -7.890181966974359052e-09   -3.123496691070294053e-21
+4.134137335000003077e+03   +1.046593897017704737e-09   -4.374576537411001819e-21   +1.132465787215522475e-09   -3.124696632739011049e-21   -8.622343938736277611e-11   +1.955994263126639405e-26   +1.046242347828159777e-09   -3.124677072796379727e-21
+6.201206002500002796e+03   +4.843204581429245577e-12   -3.749637032066572880e-21   +4.766508142887672281e-12   -3.124697228727766561e-21   +4.448458015863748110e-13   -3.566962622717639043e-29   +5.211353944474046839e-12   -3.124697264397392954e-21
+8.268274670000002516e+03   -2.954479808939721514e-15   -3.124697526722144318e-21   -3.477504158103526561e-15   -3.124697228727766561e-21   +5.153696605248891065e-16   +3.321266528893814447e-32   -2.962134497578637455e-15   -3.124697228694554050e-21
+1.033534333750000224e+04   +7.376647638088028456e-16   -3.749636436077817368e-21   +7.377079341441501978e-16   -3.124697228727766561e-21   -8.401634777365358382e-20   -1.210685317168973650e-33   +7.376239177963765486e-16   -3.124697228728977415e-21
+1.240241200500000559e+04   +7.382344097661187771e-16   -3.749636436077817368e-21   +7.382344011911342758e-16   -3.749636734072195500e-21   -9.894951463714510343e-25   +3.246463922708973065e-37   +7.382344002016391225e-16   -3.749636734072195500e-21
+1.446948067250000167e+04   +7.382344107012271972e-16   -3.749636734072195500e-21   +7.382344011911342758e-16   -3.749636734072195500e-21   +4.191535899883593446e-30   +3.066045024611540060e-38   +7.382344011911385160e-16   -3.749636734072195500e-21
+1.653654934000000503e+04   +7.382344107012271972e-16   -3.749636734072195500e-21   +7.382344011911342758e-16   -3.749636734072195500e-21   -2.966229967610569189e-33   +1.787682366706983292e-40   +7.382344011911342758e-16   -3.749636734072195500e-21
+1.860361800750000111e+04   +7.382344107012271972e-16   -3.749636734072195500e-21   +7.382344011911342758e-16   -3.749636734072195500e-21   -1.081416723432651670e-35   -2.583508082740714433e-43   +7.382344011911342758e-16   -3.749636734072195500e-21
+2.067068667500000447e+04   +7.382344107012271972e-16   -3.749636734072195500e-21   +7.382344011911342758e-16   -3.749636734072195500e-21   +2.064423261462079540e-40   -2.126928344089749163e-48   +7.382344011911342758e-16   -3.749636734072195500e-21
