# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -7.432913857718004390e-37   +7.713933760904288016e-52   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.984385920799999803e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.819020427399999608e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.653654933999999776e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.488289440599999580e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.322923947199999748e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.157558453799999734e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.074875707099999636e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-9.921929603999997198e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-9.095102136999996219e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-8.268274669999997059e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-7.441447202999996080e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-6.614619735999996919e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-5.787792268999995940e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-4.960964801999996780e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-4.134137334999995801e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-3.307309867999996641e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +0.000000000000000000e+00   +0.000000000000000000e+00   +1.774507355699987503e-20   +1.199883850261303231e-20
-2.480482400999997481e+03   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -7.550296537562421344e-71   +1.481323772856310782e-87   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.653654933999994682e+03   +1.768271910189072500e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -4.461075900611492025e-36   -6.060914463865987183e-51   +1.774507355699987202e-20   +1.199883850261303231e-20
-8.268274669999955222e+02   -7.939978446749600774e-15   +1.028471871652545584e-20   -5.312011400391169946e-15   +1.199883850261303231e-20   -1.255097829198765633e-15   +1.230772164344341591e-29   -6.567109229589935579e-15   +1.199883851492075383e-20
+3.637978807091712952e-12   -7.161207944253510456e-08   +1.114177860956924483e-20   -1.014963341289197033e-07   +1.114177860956924483e-20   +6.077697673953473314e-08   -1.328604234947932087e-22   -4.071935738938497017e-08   +1.100891818607445096e-20
+8.268274670000027982e+02   +3.602310820427560343e-12   +1.199883850261303231e-20   +1.836865707867899277e-14   +1.114177860956924483e-20   +5.581619304567740012e-14   -3.086731193207255097e-24   +7.418485012435638973e-14   +1.113869187837603732e-20
+1.653654934000005596e+03   +1.143651856299018469e-12   +1.114177860956924483e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +9.754772595625459704e-13   -2.193333814228533946e-25   +9.991582128385040098e-13   +1.371273895531918701e-20
+2.480482401000004756e+03   +1.436852795483113806e-13   +1.199883850261303231e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +1.179753814468117613e-13   +2.172095546661180225e-27   +1.416563347227698259e-13   +1.371296046079615685e-20
+3.307309868000003917e+03   +3.432219973107266695e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +1.139306612450418225e-14   -1.020281547045459185e-27   +3.507401940046223900e-14   +1.371295726841906168e-20
+4.134137335000003077e+03   +2.443764593716127038e-14   +1.114177860956924483e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +9.084722653900265725e-16   -1.589806130691007552e-28   +2.458942554134808608e-14   +1.371295812971999698e-20
+4.960964802000002237e+03   +2.370997554889928697e-14   +1.199883850261303231e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +4.950032101318548546e-17   +6.457836152182762127e-31   +2.373045359697124490e-14   +1.371295828934639115e-20
+5.787792269000005035e+03   +2.367791182992333404e-14   +1.199883850261303231e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -8.004278674567108239e-19   -2.142398927859171698e-30   +2.368015284809060232e-14   +1.371295828655821034e-20
+6.614619736000004195e+03   +2.367999257141770884e-14   +1.371295828870060879e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -7.623959010035857061e-19   +5.439960973939007636e-31   +2.368019088005705374e-14   +1.371295828924460576e-20
+7.441447203000003356e+03   +2.368079605842811741e-14   +1.371295828870060879e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -1.453973166547870505e-19   -2.419478987217196078e-32   +2.368080787864140434e-14   +1.371295828867641429e-20
+8.268274670000002516e+03   +2.368093338800096395e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -2.008258023901991923e-20   +2.038098024334881341e-33   +2.368093319337781782e-14   +1.371295828870264606e-20
+9.095102137000005314e+03   +2.368095139861635267e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -2.231530481718927989e-21   +3.832222710917647827e-34   +2.368095104442757548e-14   +1.371295828870099096e-20
+9.921929604000004474e+03   +2.368095328938496318e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -1.887324129526389787e-22   +3.629570918725258810e-35   +2.368095308722564581e-14   +1.371295828870064490e-20
+1.074875707100000363e+04   +2.368095339516992630e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -6.905826872302293829e-24   +2.792755676564363702e-37   +2.368095326905223112e-14   +1.371295828870060879e-20
+1.157558453800000279e+04   +2.368095339495675084e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +1.766872315394214623e-24   +4.804438839964850754e-38   +2.368095327772493005e-14   +1.371295828870060879e-20
+1.240241200500000559e+04   +2.368095342003438027e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +6.440170655290757690e-25   -3.933458699429694874e-39   +2.368095327660207490e-14   +1.371295828870060879e-20
+1.322923947200000111e+04   +2.368095342065900665e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +1.378817957968563991e-24   -3.169595067997502260e-39   +2.368095327733687674e-14   +1.371295828870060879e-20
+1.405606693900000391e+04   +2.368095341941228456e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -6.152889842658366499e-27   -1.810883608833425298e-40   +2.368095327595190521e-14   +1.371295828870060879e-20
+1.488289440600000671e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +2.644883822777944258e-28   +2.736903636017579889e-41   +2.368095327595832338e-14   +1.371295828870060879e-20
+1.570972187300000223e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +7.455457527913196226e-29   +4.973070516573296274e-43   +2.368095327595813405e-14   +1.371295828870060879e-20
+1.653654934000000503e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +8.251161286487717200e-30   +1.676803625722001508e-42   +2.368095327595806779e-14   +1.371295828870060879e-20
+1.736337680700000783e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +6.504854166893123920e-31   -2.158301886368421457e-43   +2.368095327595805832e-14   +1.371295828870060879e-20
+1.819020427400000335e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   +4.240344064164152404e-33   +2.193804679705798864e-45   +2.368095327595805832e-14   +1.371295828870060879e-20
+1.901703174100000615e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -1.202733640354530871e-32   +1.787699614951099312e-45   +2.368095327595805832e-14   +1.371295828870060879e-20
+1.984385920800000167e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -3.765329420874239846e-33   -4.568681978389858536e-46   +2.368095327595805832e-14   +1.371295828870060879e-20
+2.067068667500000447e+04   +2.368095341944769811e-14   +1.285589839565682130e-20   +2.368095327595805832e-14   +1.371295828870060879e-20   -7.228846068719540998e-37   +4.647200257586843642e-52   +2.368095327595805832e-14   +1.371295828870060879e-20
