# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.551504409427609382e-32   -6.558717414419167221e-45   +1.774507355697435947e-20   +1.199883850261303231e-20
-1.984385920799999803e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +1.960441855113827291e-44   +2.414214000710248052e-59   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +3.211746582046135115e-41   -5.215687144141114219e-56   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.819020427399999608e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +3.797940222461094195e-38   -1.011190741258090243e-52   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189077014e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +3.239817180094802733e-35   +1.775483139553225247e-49   +1.774507355699990813e-20   +1.199883850261303231e-20
-1.653654933999999776e+04   +1.768271910191502783e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +1.992358890549322477e-32   -5.723147408495011826e-47   +1.774507355701979938e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271911279802762e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +8.825749319432745707e-30   +8.214162062396867308e-44   +1.774507356582562354e-20   +1.199883850261303231e-20
-1.488289440599999580e+04   +1.768272262770043926e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +2.813694684540855696e-27   +1.059894429467559492e-41   +1.774507637069456086e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768353973252739157e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +6.448755329934017725e-25   -5.547051502377190381e-40   +1.774571843253286877e-20   +1.199883850261303231e-20
-1.322923947199999748e+04   +1.858761056882718260e-20   +1.199883850261303231e-20   +1.832258461774227115e-20   +1.199883850261303231e-20   +1.061179932412751190e-22   +4.291391805736833432e-38   +1.842870261098354523e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.382037775120755001e-19   +1.028471871652545584e-20   +1.204985197964527787e-19   +1.199883850261303231e-20   +1.251811996872156980e-20   -2.201065172287383103e-35   +1.330166397651743530e-19   +1.199883850261300974e-20
-1.157558453799999734e+04   +1.150228228845031681e-17   +1.028471871652545584e-20   +9.961752770071958661e-18   +1.028471871652545584e-20   +1.056559873761783593e-18   +4.961564623129789753e-33   +1.101831264383374245e-17   +1.028471871653041812e-20
-1.074875707099999636e+04   +7.895494469608739011e-16   +9.427658823481668354e-21   +6.943008865300387182e-16   +1.199883850261303231e-20   +6.365231973838354771e-17   -2.109498812857215655e-31   +7.579532062684223029e-16   +1.199883850240208280e-20
-9.921929603999997198e+03   +3.919804072314186151e-14   +1.285589839565682130e-20   +3.499071617297668126e-14   +1.114177860956924483e-20   +2.728810029606794112e-15   +2.274356741016452935e-29   +3.771952620258347459e-14   +1.114177863231281184e-20
-9.095102136999996219e+03   +1.404047330232279802e-12   +1.199883850261303231e-20   +1.271650467443707538e-12   +1.028471871652545584e-20   +8.291586829901024226e-14   +3.759994818570481195e-28   +1.354566335742717856e-12   +1.028471909252493793e-20
-8.268274669999997059e+03   +3.623843365103778976e-11   +1.199883850261303231e-20   +3.328162502694115115e-11   +1.285589839565682130e-20   +1.776112763923969181e-12   -4.699796319103869764e-27   +3.505773779086512053e-11   +1.285589369586050208e-20
-7.441447202999996080e+03   +6.728077877475495084e-10   +1.285589839565682130e-20   +6.261844410187954831e-10   +1.114177860956924483e-20   +2.661932110107695679e-11   -1.502317817650724002e-25   +6.528037621198724787e-10   +1.114162837778748035e-20
-6.614619735999996919e+03   +8.964837147128520003e-09   +1.028471871652545584e-20   +8.449547497732047027e-09   +1.199883850261303231e-20   +2.760475667500596655e-10   +3.099088003428261049e-24   +8.725595064482106744e-09   +1.200193759061646056e-20
-5.787792268999995940e+03   +8.549271003752566739e-08   +1.199883850261303231e-20   +8.154415303154292920e-08   +1.199883850261303231e-20   +1.946157038877068276e-09   -5.061349466523985552e-24   +8.349031007041999127e-08   +1.199377715314650888e-20
