# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +6.276038983919834260e-35   +4.578810082489419060e-45   +1.774507355699993822e-20   +1.199883850261303231e-20
-1.984385920799999803e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -3.555785367492952434e-46   +3.583731633850708085e-61   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +6.364596019844885969e-43   +1.723405773534532388e-57   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.819020427399999608e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -8.256614885127425339e-40   +4.263714771756275944e-54   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +7.761623781274882278e-37   -1.224893253806649392e-51   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.653654933999999776e+04   +1.768271910189010509e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -5.286062947703923848e-34   +5.159164884431703410e-49   +1.774507355699934540e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910220726061e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +2.607589606246123712e-31   -1.663983918475163087e-46   +1.774507355726063391e-20   +1.199883850261303231e-20
-1.488289440599999580e+04   +1.768271898744102601e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -9.314383329176119384e-29   +9.898740988393624430e-44   +1.774507346385604087e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768274909315884937e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +2.408461392527153821e-26   +1.925515762020429668e-40   +1.774509764161379944e-20   +1.199883850261303231e-20
-1.322923947199999748e+04   +1.767702368040210854e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -4.506439876751767043e-24   -2.211575371747477142e-38   +1.774056711712312324e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +2.210093118468514975e-20   +1.199883850261303231e-20   +2.090506342632294311e-20   +1.114177860956924483e-20   +6.098807628497320233e-22   +7.113473207577081396e-37   +2.151494418917267448e-20   +1.114177860956924483e-20
-1.157558453799999734e+04   -4.042632202412689673e-19   +1.199883850261303231e-20   -3.195745336735988892e-19   +1.028471871652545584e-20   -5.966833722718963273e-20   -2.476723067792535179e-35   -3.792428709007885340e-19   +1.028471871652543176e-20
